 1. 1.2000 - 17. 1.2000
18. 1.2007 - 29. 1.2007
30. 1.1997 -  8. 2.1997
 9. 2.2002 - 23. 2.2002
24. 2.1995 -  5. 3.1995
 6. 3.1997 - 21. 3.1997
22. 3.1994 - 31. 3.1994
 1. 4.1999 - 25. 4.1999
25. 4.2004 -  4. 5.2004
 6. 5.1999 - 30. 5.1999
30. 5.2004 -  8. 6.2004
10. 6.2002 - 20. 6.2002
20. 6.2000 - 29. 6.2000
30. 6.2004 -  9. 7.2004
11. 7.2007 - 21. 7.2007
22. 7.1995 - 31. 7.1995
 1. 8.1994 - 14. 8.1994
15. 8.1995 - 29. 8.1995
30. 8.2005 -  8. 9.2005
 9. 9.2002 - 26. 9.2002
27. 9.2001 -  6.10.2001
 7.10.1999 - 25.10.1999
26.10.1998 -  4.11.1998
 4.11.1996 - 28.11.1996
30.11.2002 -  9.12.2002
10.12.1993 - 31.12.1993
