 1. 1.2001 - 14. 1.2001
15. 1.2002 - 25. 1.2002
26. 1.2003 -  4. 2.2003
 5. 2.2004 - 21. 2.2004
22. 2.1999 -  3. 3.1999
 4. 3.1993 - 27. 3.1993
28. 3.2002 -  6. 4.2002
 7. 4.2005 - 16. 4.2005
16. 4.2004 - 30. 4.2004
 2. 5.2001 - 26. 5.2001
27. 5.1998 -  5. 6.1998
 5. 6.2000 - 27. 6.2000
29. 6.2001 -  8. 7.2001
 9. 7.2007 - 25. 7.2007
26. 7.2002 -  4. 8.2002
 5. 8.2003 - 31. 8.2003
 1. 9.1997 - 14. 9.1997
15. 9.1993 - 24. 9.1993
25. 9.2005 -  4.10.2005
 5.10.1993 - 19.10.1993
20.10.2002 - 29.10.2002
30.10.2007 -  8.11.2007
 9.11.1995 - 30.11.1995
 1.12.2007 - 20.12.2007
21.12.2006 - 31.12.2006
