 1. 1.2000 -  2. 2.2000
 3. 2.2007 - 21. 2.2007
22. 2.1999 -  3. 3.1999
 4. 3.1993 - 26. 3.1993
27. 3.2002 -  5. 4.2002
 5. 4.2004 - 24. 4.2004
26. 4.1998 - 31. 5.1998
31. 5.1996 -  9. 6.1996
11. 6.1997 - 22. 6.1997
23. 6.1998 -  2. 7.1998
 3. 7.2001 - 15. 7.2001
16. 7.1999 - 25. 7.1999
26. 7.2002 -  4. 8.2002
 5. 8.1995 - 30. 8.1995
31. 8.1997 -  9. 9.1997
10. 9.2003 - 30. 9.2003
 1.10.1993 - 18.10.1993
19.10.1999 - 28.10.1999
29.10.2007 -  7.11.2007
 8.11.1993 - 18.11.1993
19.11.1999 - 28.11.1999
29.11.1997 -  8.12.1997
 9.12.1994 - 23.12.1994
24.12.1993 - 31.12.1993
