 1. 1.2005 - 27. 1.2005
28. 1.2007 -  6. 2.2007
 7. 2.2001 - 28. 2.2001
 1. 3.2002 - 28. 3.2002
29. 3.2006 -  7. 4.2006
 8. 4.1993 - 29. 4.1993
30. 4.1999 -  9. 5.1999
10. 5.1998 - 24. 5.1998
25. 5.1993 -  3. 6.1993
 3. 6.2000 - 29. 6.2000
30. 6.2004 -  9. 7.2004
11. 7.2007 - 25. 7.2007
26. 7.2005 -  4. 8.2005
 5. 8.1998 - 16. 8.1998
16. 8.2000 - 30. 8.2000
 1. 9.2003 - 25. 9.2003
25. 9.2004 - 16.10.2004
18.10.1999 - 28.10.1999
28.10.1996 -  6.11.1996
 8.11.1995 - 22.11.1995
23.11.2001 -  2.12.2001
 3.12.2007 - 17.12.2007
18.12.1994 - 31.12.1994
