 1. 1.2005 - 29. 1.2005
30. 1.2004 - 29. 2.2004
 2. 3.1999 - 16. 3.1999
17. 3.2003 - 26. 3.2003
27. 3.2002 -  5. 4.2002
 6. 4.1993 - 23. 4.1993
24. 4.1999 -  3. 5.1999
 4. 5.2006 - 25. 5.2006
26. 5.1993 - 21. 6.1993
22. 6.2002 -  1. 7.2002
 2. 7.2005 - 14. 7.2005
15. 7.2001 - 31. 7.2001
 1. 8.1998 - 12. 8.1998
13. 8.1995 - 28. 8.1995
28. 8.2000 -  6. 9.2000
 8. 9.2003 - 23. 9.2003
24. 9.2001 -  3.10.2001
 4.10.2007 - 23.10.2007
24.10.1998 -  2.11.1998
 2.11.1996 - 24.11.1996
26.11.1997 -  5.12.1997
 6.12.1994 - 16.12.1994
17.12.1998 - 28.12.1998
29.12.1997 - 31.12.1997
