 1. 1.1994 - 19. 1.1994
20. 1.2003 - 31. 1.2003
 1. 2.2007 - 24. 2.2007
25. 2.1995 -  6. 3.1995
 7. 3.2001 - 17. 3.2001
18. 3.1999 - 28. 3.1999
29. 3.2006 -  7. 4.2006
 8. 4.2005 - 18. 4.2005
18. 4.2004 - 30. 4.2004
 2. 5.2006 -  8. 7.2006
 9. 7.2007 - 29. 7.2007
30. 7.2003 - 30. 8.2003
31. 8.1997 -  9. 9.1997
10. 9.2003 - 29. 9.2003
30. 9.1997 -  9.10.1997
 9.10.2004 - 24.10.2004
26.10.1994 -  4.11.1994
 5.11.1997 - 20.11.1997
21.11.2002 - 30.11.2002
 1.12.1993 - 22.12.1993
23.12.2003 - 31.12.2003
